# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
1, 1, 7.5000e+01, 3.3266e+01, 3.0000e+00
1, 1, 7.5000e+01, 2.6345e+01, 5.1000e+00
1, 1, 7.5000e+01, 1.9823e+01, 8.3000e+00
1, 1, 7.5000e+01, 1.4866e+01, 1.2000e+01
1, 1, 7.5000e+01, 8.6599e+00, 1.9000e+01
1, 1, 7.5000e+01, 3.2722e+00, 3.0000e+01
1, 1, 7.5000e+01, 1.5716e+00, 4.0000e+01
1, 1, 7.5000e+01, 2.5244e-01, 5.0000e+01
1, 1, 7.5000e+01, 2.8716e-03, 6.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 1, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-04
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 3.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 5.0000e-03
1, 1, 7.5000e+01, 6.6984e+01, 1.0000e-02
1, 1, 7.5000e+01, 6.6984e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.6984e+01, 2.7000e-02
1, 1, 7.5000e+01, 6.6984e+01, 4.5000e-02
1, 1, 7.5000e+01, 6.6984e+01, 7.7000e-02
1, 1, 7.5000e+01, 6.5015e+01, 1.3000e-01
1, 1, 7.5000e+01, 6.1383e+01, 2.1000e-01
1, 1, 7.5000e+01, 5.6772e+01, 3.5000e-01
1, 1, 7.5000e+01, 5.1069e+01, 6.0000e-01
1, 1, 7.5000e+01, 4.6591e+01, 9.5000e-01
1, 1, 7.5000e+01, 3.9736e+01, 1.7000e+00
