# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site, each satellite, frequency:
# att_cld_cdf_val = cdf value of attenuation due to clouds (dB); att_cld_cdf_prob = cdf probability of attenuation due to clouds (%).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_cld_cdf_val (dB), att_cld_cdf_prob (%)
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-04
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 3.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 5.0000e-03
1, 1, 3.7500e+01, 2.3497e+00, 1.0000e-02
1, 1, 3.7500e+01, 2.3497e+00, 1.6000e-02
1, 1, 3.7500e+01, 2.3497e+00, 2.7000e-02
1, 1, 3.7500e+01, 2.3497e+00, 4.5000e-02
1, 1, 3.7500e+01, 2.3497e+00, 7.7000e-02
1, 1, 3.7500e+01, 2.2806e+00, 1.3000e-01
1, 1, 3.7500e+01, 2.1532e+00, 2.1000e-01
1, 1, 3.7500e+01, 1.9915e+00, 3.5000e-01
1, 1, 3.7500e+01, 1.7914e+00, 6.0000e-01
1, 1, 3.7500e+01, 1.6344e+00, 9.5000e-01
1, 1, 3.7500e+01, 1.3939e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.1669e+00, 3.0000e+00
1, 1, 3.7500e+01, 9.2413e-01, 5.1000e+00
1, 1, 3.7500e+01, 6.9536e-01, 8.3000e+00
1, 1, 3.7500e+01, 5.2146e-01, 1.2000e+01
1, 1, 3.7500e+01, 3.0377e-01, 1.9000e+01
1, 1, 3.7500e+01, 1.1478e-01, 3.0000e+01
