# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.4238e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.6117e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.1566e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.4708e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.5836e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.0294e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.4698e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9885e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.5540e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1998e+01, 1.3000e-01
1, 1, 3.7500e+01, 9.3178e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.0005e+00, 3.5000e-01
1, 1, 3.7500e+01, 5.0815e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.8088e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.4238e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.6117e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.1566e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.4708e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.5836e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.0294e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.4698e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9885e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.5540e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1998e+01, 1.3000e-01
1, 1, 3.7500e+01, 9.3178e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.0005e+00, 3.5000e-01
1, 1, 3.7500e+01, 5.0815e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.8088e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.4238e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.6117e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.1566e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.4708e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.5836e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.0294e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.4698e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9885e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.5540e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1998e+01, 1.3000e-01
1, 1, 3.7500e+01, 9.3178e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.0005e+00, 3.5000e-01
1, 1, 3.7500e+01, 5.0815e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.8088e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.4238e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.6117e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.1566e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.4708e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.5836e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.0294e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.4698e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9885e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.5540e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1998e+01, 1.3000e-01
1, 1, 3.7500e+01, 9.3178e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.0005e+00, 3.5000e-01
1, 1, 3.7500e+01, 5.0815e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.8088e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.4238e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.6117e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.1566e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.4708e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.5836e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.0294e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.4698e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9885e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.5540e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1998e+01, 1.3000e-01
1, 1, 3.7500e+01, 9.3178e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.0005e+00, 3.5000e-01
1, 1, 3.7500e+01, 5.0815e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.8088e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.4238e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.6117e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.1566e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.4708e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.5836e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.0294e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.4698e+01, 2.7000e-02
1, 1, 3.7500e+01, 1.9885e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.5540e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.1998e+01, 1.3000e-01
1, 1, 3.7500e+01, 9.3178e+00, 2.1000e-01
1, 1, 3.7500e+01, 7.0005e+00, 3.5000e-01
1, 1, 3.7500e+01, 5.0815e+00, 6.0000e-01
1, 1, 3.7500e+01, 3.8088e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.5915e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7416e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.1786e+00, 5.1000e+00
1, 1, 3.7500e+01, 8.1021e-01, 8.3000e+00
1, 1, 3.7500e+01, 6.0377e-01, 1.2000e+01
1, 1, 3.7500e+01, 4.1325e-01, 1.9000e+01
1, 1, 3.7500e+01, 2.7960e-01, 3.0000e+01
