# This file is generated on 06-Dec-2021 at 11:47:10 and contains for each site, each satellite, frequency:
# att_comb_cdf_val = cdf value of total attenuation (dB); att_comb_cdf_prob = cdf probability of total attenuation(%).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_comb_cdf_val (dB), att_comb_cdf_prob ()
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
1, 1, 3.7500e+01, 6.8809e+01, 1.0000e-03
1, 1, 3.7500e+01, 5.4257e+01, 3.0000e-03
1, 1, 3.7500e+01, 4.7399e+01, 5.0000e-03
1, 1, 3.7500e+01, 3.8527e+01, 1.0000e-02
1, 1, 3.7500e+01, 3.2985e+01, 1.6000e-02
1, 1, 3.7500e+01, 2.7389e+01, 2.7000e-02
1, 1, 3.7500e+01, 2.2576e+01, 4.5000e-02
1, 1, 3.7500e+01, 1.8231e+01, 7.7000e-02
1, 1, 3.7500e+01, 1.4620e+01, 1.3000e-01
1, 1, 3.7500e+01, 1.1813e+01, 2.1000e-01
1, 1, 3.7500e+01, 9.3340e+00, 3.5000e-01
1, 1, 3.7500e+01, 7.2150e+00, 6.0000e-01
1, 1, 3.7500e+01, 5.7853e+00, 9.5000e-01
1, 1, 3.7500e+01, 4.3276e+00, 1.7000e+00
1, 1, 3.7500e+01, 3.2506e+00, 3.0000e+00
1, 1, 3.7500e+01, 2.4445e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.8469e+00, 8.3000e+00
1, 1, 3.7500e+01, 1.4660e+00, 1.2000e+01
1, 1, 3.7500e+01, 1.0569e+00, 1.9000e+01
1, 1, 3.7500e+01, 7.3304e-01, 3.0000e+01
1, 1, 3.7500e+01, 7.6930e+01, 5.0000e-04
